uni,city,zip,latitude,longitude,admission,act,sat,under,cost,debt
Northeastern State University,Tahlequah,74464-2399,35.920499,-94.968528,0.750127747,22,1009,6914,14395,11778.5
Fayetteville State University,Fayetteville,28301-4298,35.072485,-78.894709,0.503163017,19,892,4862,14366,16748
Purdue University-North Central Campus,Westville,46391-9542,41.583788,-86.89523,0.725085911,21,959,3231,14334,12000
Southeastern Oklahoma State University,Durant,74701-0609,34.005114,-96.376372,0.786734694,21,970,3372,14305,9169
Farmingdale State College,Farmingdale,11735-1021,40.75408,-73.426371,0.466525178,21,982,7768,14257,10775
Indiana University-Northwest,Gary,46408-1197,41.556723,-87.338457,0.767792521,20,916,4370,14067,14000
University of Connecticut-Avery Point,Groton,06340-6097,41.317231,-72.063935,0.503354871,23,1228,670,13942,18750
The University of Texas of the Permian Basin,Odessa,79762-0001,31.889509,-102.329634,0.869974337,20,963,3311,13939,8250
Concord University,Athens,24712,37.423854,-81.005694,0.377570093,22,999,2234,13861,11002.5
University of Connecticut-Stamford,Stamford,06901-2315,41.05587,-73.542747,0.503354871,24,1228,1336,13766,18750
University of Connecticut-Tri-Campus,Waterbury,6702,41.554736,-73.03881,0.503354871,23,1228,2272,13751,18750
Augusta University,Augusta,30912,33.47145,-81.988361,0.76543943,22,1030,5030,13741,7500
Texas A & M International University,Laredo,78041-1900,27.573504,-99.435225,0.467010996,19,906,6706,13737,9250
Dickinson State University,Dickinson,58601-4896,46.882677,-102.800511,0.610278373,21,957,1231,13730,11646.5
Missouri Southern State University,Joplin,64801-1595,37.095722,-94.460893,0.96003996,21,990,5076,13542,10529.5
California State University-Los Angeles,Los Angeles,90032,34.066927,-118.168965,0.610743882,18,871,20643,13479,11402
Northwestern Oklahoma State University,Alva,73717-2799,36.796313,-98.667596,0.662285137,20,930,1876,13055,7500
Elizabeth City State University,Elizabeth City,27909,36.273539,-76.210063,0.490026596,19,866,1763,12305,20352
East Central University,Ada,74820-6999,34.773805,-96.664196,0.971933472,22,1005,3636,12295,11000
The University of Texas Rio Grande Valley,Edinburg,78539-2999,26.306629,-98.172112,0.62796142,20,953,17811,11963,8748
Abraham Baldwin Agricultural College,Tifton,31793-2601,31.481889,-83.528281,0.772581221,20,927,3244,11674,8162.5
Brigham Young University-Idaho,Rexburg,83460-1690,43.815384,-111.784728,0.996188594,23,1041,23865,11139,6500
Southern University at New Orleans,New Orleans,70126,30.02669,-90.044379,0.206960845,17,806,1658,10300,14250
